	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Potri.008G151000.1__Potri.010G089900.1	0.36078000000000005	0.89312	1530.0	552.0	0.16885	GF_000028	0.0346	0.1877	100.0	0.1845	Potri.010G089900.1	Potri.008G151000.1	1.0	1.0
Potri.008G151000.1__Potri.010G089900.1	0.36078000000000005	0.89312	1530.0	552.0	0.16885	GF_000028	0.0346	0.1877	100.0	0.1845	Potri.010G089900.1	Potri.008G151000.1	1.0	1.0
Potri.002G052500.1__Potri.010G089900.1	0.32745	0.5189600000000001	1530.0	501.0	1.2085	GF_000028	0.5946	4.3892	111.0	0.1355	Potri.010G089900.1	Potri.002G052500.1	0.04545	0.04545
Potri.002G052500.1__Potri.008G151000.1	0.32549	0.53213	1530.0	498.0	1.21795	GF_000028	0.6261	2.9254	111.0	0.214	Potri.008G151000.1	Potri.002G052500.1	0.04545	0.04545
Potri.002G052500.1__Potri.008G151000.1	0.32549	0.53213	1530.0	498.0	1.21795	GF_000028	0.6261	2.9254	111.0	0.214	Potri.008G151000.1	Potri.002G052500.1	0.04545	0.04545
Potri.001G187700.1__Potri.003G047300.1	0.33137	0.43787	1530.0	507.0	2.04084	GF_000028	0.6923	8.81	112.0	0.0786	Potri.001G187700.1	Potri.003G047300.1	0.00427	0.0
Potri.002G073800.1__Potri.016G050700.1	0.17843	0.4652	1530.0	273.0	2.02545	GF_000028	0.8937	1.7465	113.0	0.5117	Potri.002G073800.1	Potri.016G050700.1	0.00645	0.01818
Potri.002G241500.1__Potri.017G011200.1	0.23725	0.43526000000000004	1530.0	363.0	2.09806	GF_000028	0.9752	66.5972	113.0	0.0146	Potri.002G241500.1	Potri.017G011200.1	0.00645	0.0
Potri.001G085100.1__Potri.003G150300.1	0.33137	0.42406000000000005	1530.0	507.0	2.5436099999999997	GF_000028	0.946	2.1931	114.0	0.4314	Potri.003G150300.1	Potri.001G085100.1	0.006940000000000001	0.02
Potri.001G332200.1__Potri.010G243600.1	0.32156999999999997	0.39228	1530.0	492.0	2.48319	GF_000028	1.0326	4.6037	115.0	0.2243	Potri.001G332200.1	Potri.010G243600.1	0.00227	0.006409999999999999
Potri.003G117900.1__Potri.016G050700.1	0.23137	0.45763000000000004	1530.0	354.0	2.11306	GF_000028	0.5415	69.3913	115.0	0.0078	Potri.003G117900.1	Potri.016G050700.1	0.00227	0.0
Potri.001G114200.1__Potri.016G050700.1	0.15882000000000002	0.46091000000000004	1530.0	243.0	2.16181	GF_000028	0.6109	4.7279	115.0	0.1292	Potri.001G114200.1	Potri.016G050700.1	0.00227	0.006409999999999999
Potri.007G104600.1__Potri.009G136200.1	0.24902	0.43306999999999995	1530.0	381.0	2.6482099999999997	GF_000028	1.1918	68.5125	116.0	0.0174	Potri.009G136200.1	Potri.007G104600.1	0.00245	0.0
Potri.003G183300.1__Potri.006G264600.1	0.31373	0.425	1530.0	480.0	2.56491	GF_000028	0.9413	81.8045	116.0	0.0115	Potri.003G183300.1	Potri.006G264600.1	0.00245	0.0
Potri.003G183300.1__Potri.006G264600.1	0.31373	0.425	1530.0	480.0	2.56491	GF_000028	0.9413	81.8045	116.0	0.0115	Potri.003G183300.1	Potri.006G264600.1	0.00245	0.0
Potri.003G183300.1__Potri.018G018200.1	0.30784	0.41613999999999995	1530.0	471.0	2.5937200000000002	GF_000028	1.0504	77.2128	116.0	0.0136	Potri.003G183300.1	Potri.018G018200.1	0.00245	0.0
Potri.003G183300.1__Potri.018G018200.1	0.30784	0.41613999999999995	1530.0	471.0	2.5937200000000002	GF_000028	1.0504	77.2128	116.0	0.0136	Potri.003G183300.1	Potri.018G018200.1	0.00245	0.0
Potri.001G043600.1__Potri.006G264600.1	0.31569	0.42028999999999994	1530.0	483.0	2.5246	GF_000028	0.8792	83.6595	116.0	0.0105	Potri.001G043600.1	Potri.006G264600.1	0.00245	0.0
Potri.001G043600.1__Potri.006G264600.1	0.31569	0.42028999999999994	1530.0	483.0	2.5246	GF_000028	0.8792	83.6595	116.0	0.0105	Potri.001G043600.1	Potri.006G264600.1	0.00245	0.0
Potri.001G043600.1__Potri.018G018200.1	0.3098	0.42405	1530.0	474.0	2.55341	GF_000028	0.9874	78.98899999999999	116.0	0.0125	Potri.001G043600.1	Potri.018G018200.1	0.00245	0.0
Potri.001G043600.1__Potri.018G018200.1	0.3098	0.42405	1530.0	474.0	2.55341	GF_000028	0.9874	78.98899999999999	116.0	0.0125	Potri.001G043600.1	Potri.018G018200.1	0.00245	0.0
Potri.001G219800.1__Potri.010G243600.1	0.30588000000000004	0.40385	1530.0	468.0	3.4184300000000003	GF_000028	0.7122	16.7596	116.0	0.0425	Potri.001G219800.1	Potri.010G243600.1	0.00245	0.0
Potri.004G194600.1__Potri.009G154200.1	0.23333	0.8831200000000001	990.0	231.0	0.10692	GF_000014	0.1171	0.0012	81.0	99.0	Potri.009G154200.1	Potri.004G194600.1	0.5	0.0
Potri.004G194600.1__Potri.009G157100.1	0.62727	0.87923	990.0	621.0	0.08907999999999999	GF_000014	0.0508	0.0005	81.0	99.0	Potri.009G157100.1	Potri.004G194600.1	0.5	0.0
Potri.008G016500.1__Potri.010G240500.1	0.38788	0.65625	990.0	384.0	0.8325799999999999	GF_000014	0.3521	16.0986	85.0	0.0219	Potri.008G016500.1	Potri.010G240500.1	0.04167	0.0
Potri.003G065300.1__Potri.013G141900.1	0.63636	0.9968299999999999	990.0	630.0	0.00916	GF_000014	0.0	0.0	86.0	99.0	Potri.013G141900.1	Potri.003G065300.1	1.0	0.0
Potri.001G169000.1__Potri.003G065300.1	0.62727	0.92432	990.0	621.0	0.05773	GF_000014	0.0658	0.1916	87.0	0.3436	Potri.001G169000.1	Potri.003G065300.1	0.5	0.5
Potri.001G169000.1__Potri.006G142600.1	0.62424	0.66343	990.0	618.0	0.4628	GF_000014	0.1174	41.6568	88.0	0.0028	Potri.006G142600.1	Potri.001G169000.1	0.33333	0.0
Potri.001G169000.1__Potri.006G142600.1	0.62424	0.66343	990.0	618.0	0.4628	GF_000014	0.1174	41.6568	88.0	0.0028	Potri.006G142600.1	Potri.001G169000.1	0.33333	0.0
Potri.003G065300.1__Potri.006G142600.1	0.6303	0.6746800000000001	990.0	624.0	0.43878999999999996	GF_000014	0.0542	43.0535	88.0	0.0013	Potri.006G142600.1	Potri.003G065300.1	0.33333	0.0
Potri.003G065300.1__Potri.006G142600.1	0.6303	0.6746800000000001	990.0	624.0	0.43878999999999996	GF_000014	0.0542	43.0535	88.0	0.0013	Potri.006G142600.1	Potri.003G065300.1	0.33333	0.0
Potri.008G020800.1__Potri.010G238100.1	0.62727	0.76651	990.0	621.0	0.54578	GF_000014	0.2661	1.7814	90.0	0.1494	Potri.010G238100.1	Potri.008G020800.1	0.5	0.5
Potri.012G111500.1__Potri.015G109600.1	0.6484800000000001	0.81308	990.0	642.0	0.36616	GF_000014	0.6487	1.6399	92.0	0.3955	Potri.015G109600.1	Potri.012G111500.1	1.0	1.0
Potri.012G111500.1__Potri.015G109600.1	0.6484800000000001	0.81308	990.0	642.0	0.36616	GF_000014	0.6487	1.6399	92.0	0.3955	Potri.015G109600.1	Potri.012G111500.1	1.0	1.0
Potri.002G184900.1__Potri.014G110400.1	0.65758	0.94163	990.0	651.0	0.03372	GF_000014	0.0432	0.0004	94.0	99.0	Potri.002G184900.1	Potri.014G110400.1	1.0	0.0
Potri.005G001300.1__Potri.013G000500.1	0.65455	0.8950600000000001	990.0	648.0	0.13635	GF_000014	0.1114	0.0915	95.0	1.2177	Potri.013G000500.1	Potri.005G001300.1	1.0	1.0
Potri.002G184900.1__Potri.013G000500.1	0.6484800000000001	0.69315	990.0	642.0	0.43025	GF_000014	0.4883	7.6837	96.0	0.0636	Potri.002G184900.1	Potri.013G000500.1	0.25	0.0
Potri.002G184900.1__Potri.013G000500.1	0.6484800000000001	0.69315	990.0	642.0	0.43025	GF_000014	0.4883	7.6837	96.0	0.0636	Potri.002G184900.1	Potri.013G000500.1	0.25	0.0
Potri.002G184900.1__Potri.005G001300.1	0.6484800000000001	0.69782	990.0	642.0	0.39824	GF_000014	0.2687	1.6525	96.0	0.1626	Potri.002G184900.1	Potri.005G001300.1	0.25	0.5
Potri.002G184900.1__Potri.005G001300.1	0.6484800000000001	0.69782	990.0	642.0	0.39824	GF_000014	0.2687	1.6525	96.0	0.1626	Potri.002G184900.1	Potri.005G001300.1	0.25	0.5
Potri.013G000500.1__Potri.014G110400.1	0.6484800000000001	0.6853600000000001	990.0	642.0	0.43875	GF_000014	0.4067	7.3931	96.0	0.055	Potri.014G110400.1	Potri.013G000500.1	0.25	0.0
Potri.013G000500.1__Potri.014G110400.1	0.6484800000000001	0.6853600000000001	990.0	642.0	0.43875	GF_000014	0.4067	7.3931	96.0	0.055	Potri.014G110400.1	Potri.013G000500.1	0.25	0.0
Potri.005G001300.1__Potri.014G110400.1	0.6484800000000001	0.69003	990.0	642.0	0.40674	GF_000014	0.2112	2.0777	96.0	0.1017	Potri.014G110400.1	Potri.005G001300.1	0.25	0.5
Potri.005G001300.1__Potri.014G110400.1	0.6484800000000001	0.69003	990.0	642.0	0.40674	GF_000014	0.2112	2.0777	96.0	0.1017	Potri.014G110400.1	Potri.005G001300.1	0.25	0.5
Potri.001G464000.1__Potri.011G162200.1	0.65455	0.8780899999999999	990.0	648.0	0.11903	GF_000014	0.048	0.203	102.0	0.2364	Potri.011G162200.1	Potri.001G464000.1	0.5	0.5
Potri.004G179800.1__Potri.009G140400.1	0.68182	0.8533299999999999	990.0	675.0	0.15694	GF_000014	0.049	5.5168	110.0	0.0089	Potri.009G140400.1	Potri.004G179800.1	0.25	0.0
Potri.004G179800.1__Potri.009G140400.1	0.68182	0.8533299999999999	990.0	675.0	0.15694	GF_000014	0.049	5.5168	110.0	0.0089	Potri.009G140400.1	Potri.004G179800.1	0.25	0.0
Potri.019G029300.1__Potri.T055000.1	0.38485	1.0	990.0	381.0	0.0011	GF_000014	0.0	0.0	117.0	99.0	Potri.T055000.1	Potri.019G029300.1	1.0	0.0
Potri.013G051600.1__Potri.019G025800.1	0.66061	0.77676	990.0	654.0	0.34865	GF_000014	0.0424	2.9009	133.0	0.0146	Potri.019G025800.1	Potri.013G051600.1	0.01429	0.01429
Potri.013G051600.1__Potri.019G029300.1	0.35758	0.80791	990.0	354.0	0.5069	GF_000014	0.2031	0.4587	134.0	0.4428	Potri.019G029300.1	Potri.013G051600.1	0.029410000000000002	0.029410000000000002
Potri.010G038200.1__Potri.015G068200.1	0.66364	0.47641000000000006	990.0	657.0	1.55273	GF_000014	0.7170000000000001	9.7424	140.0	0.0736	Potri.010G038200.1	Potri.015G068200.1	0.007090000000000001	0.0
Potri.013G141900.1__Potri.019G029300.1	0.35758	0.5	990.0	354.0	1.8209799999999998	GF_000014	1.1045	27.1706	141.0	0.0407	Potri.013G141900.1	Potri.019G029300.1	0.00286	0.0
Potri.008G020800.1__Potri.010G240500.1	0.59091	0.45811999999999997	990.0	585.0	2.04332	GF_000014	11.8749	1.0663	142.0	11.1369	Potri.010G240500.1	Potri.008G020800.1	0.00159	0.00515
Potri.002G006400.1__Potri.005G255200.1	0.32066	0.8848799999999999	1815.0	582.0	0.14115999999999998	GF_000034	0.0343	0.3925	53.0	0.0875	Potri.005G255200.1	Potri.002G006400.1	1.0	1.0
Potri.007G064400.1__Potri.T141400.1	0.31736	0.9895799999999999	1815.0	576.0	0.01385	GF_000034	0.0	0.0	54.0	0.2221	Potri.T141400.1	Potri.007G064400.1	1.0	0.0
Potri.005G099000.1__Potri.007G064400.1	0.30579	0.84324	1815.0	555.0	0.24674000000000001	GF_000034	0.0442	0.4499	55.0	0.0982	Potri.005G099000.1	Potri.007G064400.1	0.5	0.5
Potri.005G099000.1__Potri.005G255200.1	0.30248	0.61931	1815.0	549.0	0.60714	GF_000034	0.0453	45.3452	56.0	0.001	Potri.005G255200.1	Potri.005G099000.1	0.16667	0.0
Potri.005G099000.1__Potri.005G255200.1	0.30248	0.61931	1815.0	549.0	0.60714	GF_000034	0.0453	45.3452	56.0	0.001	Potri.005G255200.1	Potri.005G099000.1	0.16667	0.0
Potri.005G255200.1__Potri.007G064400.1	0.2876	0.5996199999999999	1815.0	522.0	0.79604	GF_000034	0.0656	8.1184	56.0	0.0081	Potri.005G255200.1	Potri.007G064400.1	0.16667	0.0
Potri.005G255200.1__Potri.007G064400.1	0.2876	0.5996199999999999	1815.0	522.0	0.79604	GF_000034	0.0656	8.1184	56.0	0.0081	Potri.005G255200.1	Potri.007G064400.1	0.16667	0.0
Potri.002G006400.1__Potri.005G099000.1	0.30248	0.6357	1815.0	549.0	0.5434399999999999	GF_000034	0.046	1.9843	56.0	0.0232	Potri.002G006400.1	Potri.005G099000.1	0.16667	0.33333
Potri.002G006400.1__Potri.005G099000.1	0.30248	0.6357	1815.0	549.0	0.5434399999999999	GF_000034	0.046	1.9843	56.0	0.0232	Potri.002G006400.1	Potri.005G099000.1	0.16667	0.33333
Potri.002G006400.1__Potri.007G064400.1	0.2876	0.62261	1815.0	522.0	0.73234	GF_000034	0.0733	1.4498	56.0	0.0505	Potri.002G006400.1	Potri.007G064400.1	0.16667	0.33333
Potri.002G006400.1__Potri.007G064400.1	0.2876	0.62261	1815.0	522.0	0.73234	GF_000034	0.0733	1.4498	56.0	0.0505	Potri.002G006400.1	Potri.007G064400.1	0.16667	0.33333
Potri.001G159300.1__Potri.003G075200.1	0.27273000000000003	0.90707	1815.0	495.0	0.10667	GF_000034	0.0502	0.2398	57.0	0.2093	Potri.001G159300.1	Potri.003G075200.1	1.0	1.0
Potri.013G157000.1__Potri.019G130100.1	0.27107	0.80081	1815.0	492.0	0.3165	GF_000034	0.0663	0.345	58.0	0.1922	Potri.019G130100.1	Potri.013G157000.1	1.0	1.0
Potri.013G091300.1__Potri.019G057700.1	0.31736	0.89931	1815.0	576.0	0.12104000000000001	GF_000034	0.0449	0.2774	60.0	0.1619	Potri.013G091300.1	Potri.019G057700.1	0.5	0.5
Potri.013G091300.1__Potri.019G057700.1	0.31736	0.89931	1815.0	576.0	0.12104000000000001	GF_000034	0.0449	0.2774	60.0	0.1619	Potri.013G091300.1	Potri.019G057700.1	0.5	0.5
Potri.013G091300.1__Potri.016G136200.1	0.30909000000000003	0.62567	1815.0	561.0	0.44441	GF_000034	0.0346	2.3856	61.0	0.0145	Potri.016G136200.1	Potri.013G091300.1	0.33333	0.33333
Potri.013G091300.1__Potri.016G136200.1	0.30909000000000003	0.62567	1815.0	561.0	0.44441	GF_000034	0.0346	2.3856	61.0	0.0145	Potri.016G136200.1	Potri.013G091300.1	0.33333	0.33333
Potri.016G136200.1__Potri.019G057700.1	0.30083000000000004	0.64103	1815.0	546.0	0.52175	GF_000034	0.084	1.8051	61.0	0.0465	Potri.016G136200.1	Potri.019G057700.1	0.33333	0.33333
Potri.016G136200.1__Potri.019G057700.1	0.30083000000000004	0.64103	1815.0	546.0	0.52175	GF_000034	0.084	1.8051	61.0	0.0465	Potri.016G136200.1	Potri.019G057700.1	0.33333	0.33333
Potri.016G136200.1__Potri.019G130100.1	0.29091	0.55871	1815.0	528.0	0.8286899999999999	GF_000034	0.1385	2.4889	62.0	0.0557	Potri.019G130100.1	Potri.016G136200.1	0.125	0.125
Potri.013G091300.1__Potri.019G130100.1	0.29752	0.60556	1815.0	540.0	0.73678	GF_000034	0.1424	1.4571	62.0	0.0977	Potri.019G130100.1	Potri.013G091300.1	0.125	0.125
Potri.019G057700.1__Potri.019G130100.1	0.29256	0.60075	1815.0	531.0	0.81412	GF_000034	0.1571	1.6719	62.0	0.0939	Potri.019G130100.1	Potri.019G057700.1	0.125	0.125
Potri.013G091300.1__Potri.013G157000.1	0.26777	0.61728	1815.0	486.0	0.86364	GF_000034	0.1642	1.1937	62.0	0.1376	Potri.013G157000.1	Potri.013G091300.1	0.125	0.125
Potri.001G309600.1__Potri.019G010500.1	0.3686	0.88789	1815.0	669.0	0.12445	GF_000034	0.0229	0.2725	63.0	0.0842	Potri.001G309600.1	Potri.019G010500.1	1.0	1.0
Potri.005G108200.1__Potri.007G061400.1	0.38843	0.9361700000000001	1815.0	705.0	0.06481	GF_000034	0.0223	0.0939	69.0	0.2376	Potri.005G108200.1	Potri.007G061400.1	1.0	1.0
Potri.005G099000.1__Potri.007G061400.1	0.23306	0.38771	1815.0	423.0	3.22152	GF_000034	0.3838	88.1603	72.0	0.0044	Potri.005G099000.1	Potri.007G061400.1	0.014709999999999999	0.0
Potri.005G081200.1__Potri.007G086100.1	0.26446	0.6958300000000001	1815.0	480.0	0.58872	GF_000034	0.0884	0.612	75.0	0.1444	Potri.007G086100.1	Potri.005G081200.1	0.5	0.5
Potri.001G400600.1__Potri.011G119900.1	0.2314	0.68095	1815.0	420.0	0.9263399999999999	GF_000034	0.1675	0.1896	78.0	0.8835	Potri.001G400600.1	Potri.011G119900.1	1.0	1.0
Potri.001G400600.1__Potri.011G119900.1	0.2314	0.68095	1815.0	420.0	0.9263399999999999	GF_000034	0.1675	0.1896	78.0	0.8835	Potri.001G400600.1	Potri.011G119900.1	1.0	1.0
Potri.002G017400.1__Potri.005G244500.1	0.27107	0.86179	1815.0	492.0	0.20788	GF_000034	0.0749	0.5674	80.0	0.1321	Potri.002G017400.1	Potri.005G244500.1	1.0	1.0
Potri.008G025300.1__Potri.010G235200.1	0.3719	0.8992600000000001	1815.0	675.0	0.14874	GF_000034	0.0389	0.2593	82.0	0.1499	Potri.008G025300.1	Potri.010G235200.1	1.0	1.0
Potri.002G153400.1__Potri.014G076800.1	0.33388	0.88944	1815.0	606.0	0.13035	GF_000034	0.0783	0.4658	83.0	0.1681	Potri.014G076800.1	Potri.002G153400.1	1.0	1.0
Potri.002G153400.1__Potri.014G076800.1	0.33388	0.88944	1815.0	606.0	0.13035	GF_000034	0.0783	0.4658	83.0	0.1681	Potri.014G076800.1	Potri.002G153400.1	1.0	1.0
Potri.002G017400.1__Potri.010G245800.1	0.08595	0.42949	1815.0	156.0	4.07305	GF_000034	0.7864	71.7843	87.0	0.011000000000000001	Potri.010G245800.1	Potri.002G017400.1	0.04167	0.0
Potri.005G244500.1__Potri.010G245800.1	0.08926	0.4321	1815.0	162.0	4.27839	GF_000034	0.9377	72.3896	87.0	0.013000000000000001	Potri.010G245800.1	Potri.005G244500.1	0.04167	0.0
Potri.011G063100.1__Potri.019G091400.1	0.33884000000000003	0.56098	1815.0	615.0	1.0074	GF_000034	0.128	5.3631	88.0	0.0239	Potri.019G091400.1	Potri.011G063100.1	1.0	0.0
Potri.011G063100.1__Potri.019G091400.1	0.33884000000000003	0.56098	1815.0	615.0	1.0074	GF_000034	0.128	5.3631	88.0	0.0239	Potri.019G091400.1	Potri.011G063100.1	1.0	0.0
Potri.008G054300.1__Potri.010G206200.1	0.12727	0.42857	1815.0	231.0	2.12627	GF_000034	0.3694	73.791	90.0	0.005	Potri.008G054300.1	Potri.010G206200.1	0.5	0.0
Potri.001G162000.1__Potri.003G073300.1	0.45455	0.9103	1815.0	825.0	0.13654000000000002	GF_000034	0.0497	0.2098	92.0	0.2368	Potri.003G073300.1	Potri.001G162000.1	1.0	1.0
Potri.010G010500.1__Potri.T030300.1	0.4876	0.9909600000000001	1815.0	885.0	0.01154	GF_000034	0.0229	0.0406	93.0	0.5649	Potri.010G010500.1	Potri.T030300.1	1.0	1.0
Potri.010G010500.1__Potri.T030300.1	0.4876	0.9909600000000001	1815.0	885.0	0.01154	GF_000034	0.0229	0.0406	93.0	0.5649	Potri.010G010500.1	Potri.T030300.1	1.0	1.0
Potri.008G219200.1__Potri.010G010500.1	0.4843	0.8577899999999999	1815.0	879.0	0.20718000000000003	GF_000034	0.0639	0.5095	94.0	0.1253	Potri.008G219200.1	Potri.010G010500.1	0.5	1.0
Potri.008G219200.1__Potri.T030300.1	0.4843	0.8555200000000001	1815.0	879.0	0.20122	GF_000034	0.0684	53.2303	94.0	0.0013	Potri.008G219200.1	Potri.T030300.1	0.5	0.0
Potri.008G219200.1__Potri.T030300.1	0.4843	0.8555200000000001	1815.0	879.0	0.20122	GF_000034	0.0684	53.2303	94.0	0.0013	Potri.008G219200.1	Potri.T030300.1	0.5	0.0
Potri.001G279200.1__Potri.009G073900.1	0.42313999999999996	0.8919299999999999	1815.0	768.0	0.1547	GF_000034	0.0426	0.2843	98.0	0.15	Potri.001G279200.1	Potri.009G073900.1	1.0	1.0
Potri.001G279200.1__Potri.009G073900.1	0.42313999999999996	0.8919299999999999	1815.0	768.0	0.1547	GF_000034	0.0426	0.2843	98.0	0.15	Potri.001G279200.1	Potri.009G073900.1	1.0	1.0
Potri.001G279200.1__Potri.008G071000.1	0.25455	0.45238	1815.0	462.0	2.34803	GF_000034	0.3917	2.9561	101.0	0.1325	Potri.008G071000.1	Potri.001G279200.1	0.02273	0.2
Potri.008G219200.1__Potri.011G119900.1	0.23471	0.37559000000000003	1815.0	426.0	2.9157900000000003	GF_000034	0.5426	79.7472	102.0	0.0068	Potri.011G119900.1	Potri.008G219200.1	0.00606	0.0
Potri.002G017400.1__Potri.007G064400.1	0.22975	0.43165	1815.0	417.0	3.4707199999999996	GF_000034	0.5024	77.7772	104.0	0.0065	Potri.007G064400.1	Potri.002G017400.1	0.00149	0.0
